DEP;PDEP;ARR;PARR;D
10.08.2015 13:30;ANCONA;11.08.2015 06:00;IGOUMENITSA;452
17.08.2015 13:30;ANCONA;18.08.2015 06:00;IGOUMENITSA;452
11.08.2015 13:30;ANCONA;12.08.2015 06:00;IGOUMENITSA;452
18.08.2015 13:30;ANCONA;19.08.2015 06:00;IGOUMENITSA;452
12.08.2015 13:30;ANCONA;13.08.2015 06:00;IGOUMENITSA;452
19.08.2015 13:30;ANCONA;20.08.2015 06:00;IGOUMENITSA;452
13.08.2015 13:30;ANCONA;14.08.2015 06:00;IGOUMENITSA;452
20.08.2015 13:30;ANCONA;21.08.2015 06:00;IGOUMENITSA;452
14.08.2015 13:30;ANCONA;15.08.2015 06:00;IGOUMENITSA;452
21.08.2015 13:30;ANCONA;22.08.2015 06:00;IGOUMENITSA;452
15.08.2015 13:30;ANCONA;16.08.2015 06:00;IGOUMENITSA;452
22.08.2015 13:30;ANCONA;23.08.2015 06:00;IGOUMENITSA;452
15.08.2015 16:30;ANCONA;16.08.2015 09:00;IGOUMENITSA;452
22.08.2015 16:30;ANCONA;23.08.2015 09:00;IGOUMENITSA;452
16.08.2015 13:30;ANCONA;17.08.2015 06:00;IGOUMENITSA;452
23.08.2015 13:30;ANCONA;24.08.2015 06:00;IGOUMENITSA;452
10.08.2015 06:30;IGOUMENITSA;10.08.2015 11:30;PATRAS;136
17.08.2015 06:30;IGOUMENITSA;17.08.2015 11:30;PATRAS;136
11.08.2015 06:30;IGOUMENITSA;11.08.2015 11:30;PATRAS;136
18.08.2015 06:30;IGOUMENITSA;18.08.2015 11:30;PATRAS;136
12.08.2015 06:30;IGOUMENITSA;12.08.2015 11:30;PATRAS;136
19.08.2015 06:30;IGOUMENITSA;19.08.2015 11:30;PATRAS;136
13.08.2015 06:30;IGOUMENITSA;13.08.2015 11:30;PATRAS;136
20.08.2015 06:30;IGOUMENITSA;20.08.2015 11:30;PATRAS;136
14.08.2015 06:30;IGOUMENITSA;14.08.2015 11:30;PATRAS;136
21.08.2015 06:30;IGOUMENITSA;21.08.2015 11:30;PATRAS;136
15.08.2015 06:30;IGOUMENITSA;15.08.2015 11:30;PATRAS;136
22.08.2015 06:30;IGOUMENITSA;22.08.2015 11:30;PATRAS;136
16.08.2015 06:30;IGOUMENITSA;16.08.2015 11:30;PATRAS;136
23.08.2015 06:30;IGOUMENITSA;23.08.2015 11:30;PATRAS;136
16.08.2015 09:30;IGOUMENITSA;16.08.2015 14:30;PATRAS;136
23.08.2015 09:30;IGOUMENITSA;23.08.2015 14:30;PATRAS;136
11.08.2015 16:30;ANCONA;12.08.2015 08:00;CORFU;459
18.08.2015 16:30;ANCONA;19.08.2015 08:00;CORFU;459
13.08.2015 16:30;ANCONA;14.08.2015 08:00;CORFU;459
20.08.2015 16:30;ANCONA;21.08.2015 08:00;CORFU;459
14.08.2015 09:00;CORFU;14.08.2015 09:30;IGOUMENITSA;18
21.08.2015 09:00;CORFU;21.08.2015 09:30;IGOUMENITSA;18
12.08.2015 09:00;CORFU;12.08.2015 09:30;IGOUMENITSA;18
19.08.2015 09:00;CORFU;19.08.2015 09:30;IGOUMENITSA;18
12.08.2015 10:00;IGOUMENITSA;12.08.2015 15:00;PATRAS;136
19.08.2015 10:00;IGOUMENITSA;19.08.2015 15:00;PATRAS;136
14.08.2015 10:00;IGOUMENITSA;14.08.2015 15:00;PATRAS;136
21.08.2015 10:00;IGOUMENITSA;21.08.2015 15:00;PATRAS;136
10.08.2015 19:30;BARI;11.08.2015 05:30;IGOUMENITSA;289
17.08.2015 19:30;BARI;18.08.2015 05:30;IGOUMENITSA;289
11.08.2015 19:30;BARI;12.08.2015 05:30;IGOUMENITSA;289
18.08.2015 19:30;BARI;19.08.2015 05:30;IGOUMENITSA;289
12.08.2015 19:30;BARI;13.08.2015 05:30;IGOUMENITSA;289
19.08.2015 19:30;BARI;20.08.2015 05:30;IGOUMENITSA;289
15.08.2015 19:30;BARI;16.08.2015 05:30;IGOUMENITSA;289
22.08.2015 19:30;BARI;23.08.2015 05:30;IGOUMENITSA;289
16.08.2015 13:30;BARI;16.08.2015 23:00;IGOUMENITSA;289
23.08.2015 13:30;BARI;23.08.2015 23:00;IGOUMENITSA;289
10.08.2015 01:00;IGOUMENITSA;10.08.2015 07:00;PATRAS;136
17.08.2015 01:00;IGOUMENITSA;17.08.2015 07:00;PATRAS;136
11.08.2015 08:00;IGOUMENITSA;11.08.2015 13:00;PATRAS;136
18.08.2015 08:00;IGOUMENITSA;18.08.2015 13:00;PATRAS;136
12.08.2015 08:00;IGOUMENITSA;12.08.2015 13:00;PATRAS;136
19.08.2015 08:00;IGOUMENITSA;19.08.2015 13:00;PATRAS;136
13.08.2015 08:00;IGOUMENITSA;13.08.2015 13:00;PATRAS;136
20.08.2015 08:00;IGOUMENITSA;20.08.2015 13:00;PATRAS;136
16.08.2015 08:00;IGOUMENITSA;16.08.2015 13:00;PATRAS;136
23.08.2015 08:00;IGOUMENITSA;23.08.2015 13:00;PATRAS;136
14.08.2015 08:00;IGOUMENITSA;14.08.2015 13:00;PATRAS;136
21.08.2015 08:00;IGOUMENITSA;21.08.2015 13:00;PATRAS;136
13.08.2015 19:30;BARI;14.08.2015 04:30;CORFU;296
20.08.2015 19:30;BARI;21.08.2015 04:30;CORFU;296
14.08.2015 13:00;BARI;14.08.2015 22:00;CORFU;296
21.08.2015 13:00;BARI;21.08.2015 22:00;CORFU;296
15.08.2015 13:00;BARI;15.08.2015 22:00;CORFU;296
22.08.2015 13:00;BARI;22.08.2015 22:00;CORFU;296
14.08.2015 23:00;CORFU;14.08.2015 23:30;IGOUMENITSA;18
21.08.2015 23:00;CORFU;21.08.2015 23:30;IGOUMENITSA;18
15.08.2015 23:00;CORFU;15.08.2015 23:30;IGOUMENITSA;18
22.08.2015 23:00;CORFU;22.08.2015 23:30;IGOUMENITSA;18
13.08.2015 16:00;IGOUMENITSA;13.08.2015 21:00;PATRAS;136
20.08.2015 16:00;IGOUMENITSA;20.08.2015 21:00;PATRAS;136
16.08.2015 16:00;IGOUMENITSA;16.08.2015 21:00;PATRAS;136
23.08.2015 16:00;IGOUMENITSA;23.08.2015 21:00;PATRAS;136
12.08.2015 12:00;VENEZIA;13.08.2015 14:30;IGOUMENITSA;578
19.08.2015 12:00;VENEZIA;20.08.2015 14:30;IGOUMENITSA;578
15.08.2015 12:00;VENEZIA;16.08.2015 14:30;IGOUMENITSA;578
22.08.2015 12:00;VENEZIA;23.08.2015 14:30;IGOUMENITSA;578
10.08.2015 14:30;PATRAS;10.08.2015 19:30;IGOUMENITSA;136
17.08.2015 14:30;PATRAS;17.08.2015 19:30;IGOUMENITSA;136
10.08.2015 20:00;IGOUMENITSA;11.08.2015 10:30;ANCONA;452
